     25543:	symbol=__ctype32_tolower;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=error_message_count;  lookup in file=cat [0]
     25543:	symbol=error_message_count;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=optopt;  lookup in file=cat [0]
     25543:	symbol=optopt;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=__ctype32_b;  lookup in file=cat [0]
     25543:	symbol=__ctype32_b;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=_nl_msg_cat_cntr;  lookup in file=cat [0]
     25543:	symbol=_nl_msg_cat_cntr;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=__daylight;  lookup in file=cat [0]
     25543:	symbol=__daylight;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=_nl_domain_bindings;  lookup in file=cat [0]
     25543:	symbol=_nl_domain_bindings;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=argp_program_bug_address;  lookup in file=cat [0]
     25543:	symbol=argp_program_bug_address;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=_IO_funlockfile;  lookup in file=cat [0]
     25543:	symbol=_IO_funlockfile;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=svc_fdset;  lookup in file=cat [0]
     25543:	symbol=svc_fdset;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=__libc_dlerror_result;  lookup in file=cat [0]
     25543:	symbol=__libc_dlerror_result;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=stdin;  lookup in file=cat [0]
     25543:	symbol=stdin;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=__timezone;  lookup in file=cat [0]
     25543:	symbol=__timezone;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=__ctype_tolower;  lookup in file=cat [0]
     25543:	symbol=__ctype_tolower;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=_IO_2_1_stdout_;  lookup in file=cat [0]
     25543:	symbol=_IO_2_1_stdout_;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=__tzname;  lookup in file=cat [0]
     25543:	symbol=__tzname;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=error_one_per_line;  lookup in file=cat [0]
     25543:	symbol=error_one_per_line;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=_res_hconf;  lookup in file=cat [0]
     25543:	symbol=_res_hconf;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=__key_decryptsession_pk_LOCAL;  lookup in file=cat [0]
     25543:	symbol=__key_decryptsession_pk_LOCAL;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=_rtld_global;  lookup in file=cat [0]
     25543:	symbol=_rtld_global;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=_rtld_global;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     25543:	symbol=__progname;  lookup in file=cat [0]
     25543:	symbol=__progname;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=h_errlist;  lookup in file=cat [0]
     25543:	symbol=h_errlist;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=__environ;  lookup in file=cat [0]
     25543:	symbol=__environ;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=argp_err_exit_status;  lookup in file=cat [0]
     25543:	symbol=argp_err_exit_status;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=svc_pollfd;  lookup in file=cat [0]
     25543:	symbol=svc_pollfd;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=__progname_full;  lookup in file=cat [0]
     25543:	symbol=__progname_full;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=argp_program_version_hook;  lookup in file=cat [0]
     25543:	symbol=argp_program_version_hook;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=optarg;  lookup in file=cat [0]
     25543:	symbol=optarg;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=malloc;  lookup in file=cat [0]
     25543:	symbol=malloc;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=realloc;  lookup in file=cat [0]
     25543:	symbol=realloc;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=calloc;  lookup in file=cat [0]
     25543:	symbol=calloc;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=_dl_find_dso_for_object;  lookup in file=cat [0]
     25543:	symbol=_dl_find_dso_for_object;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=_dl_find_dso_for_object;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     25543:	symbol=_dl_deallocate_tls;  lookup in file=cat [0]
     25543:	symbol=_dl_deallocate_tls;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=_dl_deallocate_tls;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     25543:	symbol=__tls_get_addr;  lookup in file=cat [0]
     25543:	symbol=__tls_get_addr;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=__tls_get_addr;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     25543:	symbol=_dl_signal_error;  lookup in file=cat [0]
     25543:	symbol=_dl_signal_error;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=_dl_signal_error;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     25543:	symbol=_dl_signal_exception;  lookup in file=cat [0]
     25543:	symbol=_dl_signal_exception;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=_dl_signal_exception;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     25543:	symbol=_dl_audit_symbind_alt;  lookup in file=cat [0]
     25543:	symbol=_dl_audit_symbind_alt;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=_dl_audit_symbind_alt;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     25543:	symbol=__tunable_is_initialized;  lookup in file=cat [0]
     25543:	symbol=__tunable_is_initialized;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=__tunable_is_initialized;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     25543:	symbol=_dl_rtld_di_serinfo;  lookup in file=cat [0]
     25543:	symbol=_dl_rtld_di_serinfo;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=_dl_rtld_di_serinfo;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     25543:	symbol=_dl_allocate_tls;  lookup in file=cat [0]
     25543:	symbol=_dl_allocate_tls;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=_dl_allocate_tls;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     25543:	symbol=__tunable_get_val;  lookup in file=cat [0]
     25543:	symbol=__tunable_get_val;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=__tunable_get_val;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     25543:	symbol=_dl_catch_exception;  lookup in file=cat [0]
     25543:	symbol=_dl_catch_exception;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=_dl_catch_exception;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     25543:	symbol=_dl_allocate_tls_init;  lookup in file=cat [0]
     25543:	symbol=_dl_allocate_tls_init;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=_dl_allocate_tls_init;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     25543:	symbol=__nptl_change_stack_perm;  lookup in file=cat [0]
     25543:	symbol=__nptl_change_stack_perm;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=__nptl_change_stack_perm;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     25543:	symbol=_dl_audit_preinit;  lookup in file=cat [0]
     25543:	symbol=_dl_audit_preinit;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=_dl_audit_preinit;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     25543:	symbol=__libc_start_main;  lookup in file=cat [0]
     25543:	symbol=__libc_start_main;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=_ITM_deregisterTMCloneTable;  lookup in file=cat [0]
     25543:	symbol=_ITM_deregisterTMCloneTable;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=_ITM_deregisterTMCloneTable;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     25543:	symbol=stdout;  lookup in file=cat [0]
     25543:	symbol=stdout;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=optind;  lookup in file=cat [0]
     25543:	symbol=optind;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=__gmon_start__;  lookup in file=cat [0]
     25543:	symbol=__gmon_start__;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=__gmon_start__;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     25543:	symbol=program_invocation_name;  lookup in file=cat [0]
     25543:	symbol=program_invocation_name;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=_ITM_registerTMCloneTable;  lookup in file=cat [0]
     25543:	symbol=_ITM_registerTMCloneTable;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=_ITM_registerTMCloneTable;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     25543:	symbol=program_invocation_short_name;  lookup in file=cat [0]
     25543:	symbol=program_invocation_short_name;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=__cxa_finalize;  lookup in file=cat [0]
     25543:	symbol=__cxa_finalize;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=stderr;  lookup in file=cat [0]
